Dataset,Combination,Classifier,Accuracy,Precision,Recall,F1-Score,Embedding_Dim
dataset_sem_stopwords_lemmatizado,titulo,SVM,0.8849223015539689,0.8859049170210228,0.8849223015539689,0.8848503993193741,896
dataset_sem_stopwords_lemmatizado,titulo,RandomForest,0.8122637547249055,0.8122659363470508,0.8122637547249055,0.8122635560326711,896
dataset_sem_stopwords_lemmatizado,titulo,LogisticRegression,0.870642587148257,0.8707943741541478,0.870642587148257,0.8706299905831786,896
dataset_sem_stopwords_lemmatizado,texto,SVM,0.9206215875682486,0.9206713855290379,0.9206215875682486,0.9206190391540209,896
dataset_sem_stopwords_lemmatizado,texto,RandomForest,0.8849223015539689,0.8856559975154956,0.8849223015539689,0.8848663300688021,896
dataset_sem_stopwords_lemmatizado,texto,LogisticRegression,0.9109617807643847,0.9110031630663511,0.9109617807643847,0.9109593306000168,896
dataset_sem_stopwords_lemmatizado,subtitulo,SVM,0.8509029819403612,0.8716174532860334,0.8509029819403612,0.8488047070577589,896
dataset_sem_stopwords_lemmatizado,subtitulo,RandomForest,0.8278034439311214,0.8356582832947618,0.8278034439311214,0.8267970393200184,896
dataset_sem_stopwords_lemmatizado,subtitulo,LogisticRegression,0.8450230995380092,0.8627371055143153,0.8450230995380092,0.8431163401614671,896
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,SVM,0.9185216295674087,0.9192625904062168,0.9185216295674087,0.9184864027345165,896
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,RandomForest,0.8672826543469131,0.8673194133253528,0.8672826543469131,0.8672790022151193,896
dataset_sem_stopwords_lemmatizado,titulo_subtitulo,LogisticRegression,0.9055018899622007,0.9057114686133455,0.9055018899622007,0.9054901870692326,896
dataset_sem_stopwords_lemmatizado,completo,SVM,0.9449811003779924,0.945071526153698,0.9449811003779924,0.9449781304948782,896
dataset_sem_stopwords_lemmatizado,completo,RandomForest,0.8916421671566569,0.8920401536707537,0.8916421671566569,0.8916138332631361,896
dataset_sem_stopwords_lemmatizado,completo,LogisticRegression,0.9353212935741285,0.9354437336923929,0.9353212935741285,0.9353165014770238,896
dataset_sem_caracteres_especiais_lemmatizado,titulo,SVM,0.9130617387652247,0.9132166737798854,0.9130617387652247,0.9130539784429864,896
dataset_sem_caracteres_especiais_lemmatizado,titulo,RandomForest,0.8500629987400252,0.8500754721154984,0.8500629987400252,0.8500618879241492,896
dataset_sem_caracteres_especiais_lemmatizado,titulo,LogisticRegression,0.8983620327593448,0.8984752094556602,0.8983620327593448,0.8983552196017892,896
dataset_sem_caracteres_especiais_lemmatizado,texto,SVM,0.9239815203695926,0.9241129249271304,0.9239815203695926,0.9239753248256254,896
dataset_sem_caracteres_especiais_lemmatizado,texto,RandomForest,0.877782444351113,0.8787100873367149,0.877782444351113,0.8777060794250275,896
dataset_sem_caracteres_especiais_lemmatizado,texto,LogisticRegression,0.9109617807643847,0.9109800880403945,0.9109617807643847,0.9109606499368457,896
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,SVM,0.8559428811423772,0.8789042568909159,0.8559428811423772,0.8537356500883333,896
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,RandomForest,0.8282234355312894,0.8363559758625901,0.8282234355312894,0.8271858210180528,896
dataset_sem_caracteres_especiais_lemmatizado,subtitulo,LogisticRegression,0.8492230155396892,0.8668668336244,0.8492230155396892,0.8473964307420807,896
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,SVM,0.9336413271734565,0.9339960996804265,0.9336413271734565,0.9336281914139053,896
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,RandomForest,0.8878622427551449,0.8879244199348377,0.8878622427551449,0.8878580887466052,896
dataset_sem_caracteres_especiais_lemmatizado,titulo_subtitulo,LogisticRegression,0.9164216715665686,0.9166697675564461,0.9164216715665686,0.9164096988973747,896
dataset_sem_caracteres_especiais_lemmatizado,completo,SVM,0.9622007559848803,0.9622644974486402,0.9622007559848803,0.9621993557501195,896
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomForest,0.9067618647627047,0.9073685686288762,0.9067618647627047,0.9067262934629331,896
dataset_sem_caracteres_especiais_lemmatizado,completo,LogisticRegression,0.9508609827803444,0.9509755235727168,0.9508609827803444,0.9508576887930792,896
